frame_number,x_coordinate,y_coordinate
1,N/A,N/A
2,N/A,N/A
3,N/A,N/A
4,N/A,N/A
5,N/A,N/A
6,N/A,N/A
7,N/A,N/A
8,N/A,N/A
9,N/A,N/A
10,N/A,N/A
11,N/A,N/A
12,N/A,N/A
13,N/A,N/A
14,N/A,N/A
15,N/A,N/A
16,N/A,N/A
17,N/A,N/A
18,N/A,N/A
19,N/A,N/A
20,N/A,N/A
21,N/A,N/A
22,N/A,N/A
23,N/A,N/A
24,N/A,N/A
25,N/A,N/A
26,N/A,N/A
27,N/A,N/A
28,N/A,N/A
29,N/A,N/A
30,N/A,N/A
31,N/A,N/A
32,N/A,N/A
33,N/A,N/A
34,N/A,N/A
35,133,234
36,133,228
37,134,221
38,135,216
39,136,211
40,136,207
41,137,200
42,138,195
43,138,192
44,139,188
45,139,185
46,140,181
47,140,179
48,141,176
49,141,173
50,141,170
51,141,168
52,143,165
53,142,163
54,143,161
55,143,159
56,144,156
57,145,154
58,145,153
59,145,151
60,146,149
61,146,148
62,146,146
63,147,144
64,148,142
65,147,141
66,149,139
67,148,137
68,148,134
69,148,132
70,149,131
71,149,129
72,147,129
73,147,127
74,147,126
75,146,125
76,145,124
77,145,121
78,145,119
79,144,118
80,143,118
81,142,117
82,142,116
83,142,115
84,141,114
85,141,113
86,140,112
87,140,110
88,140,108
89,139,107
90,139,106
91,139,105
92,138,104
93,138,103
94,137,103
95,136,102
96,136,101
97,136,99
98,135,98
99,135,97
100,135,96
101,134,95
102,134,95
103,133,94
104,133,93
105,133,92
106,132,91
107,132,90
108,132,89
109,132,88
110,132,87
111,132,87
112,132,86
113,132,86
114,132,85
115,132,85
116,132,84
117,131,84
118,131,83
119,131,82
120,130,81
121,130,81
122,130,80
123,130,80
124,130,79
125,129,79
126,129,78
127,129,77
128,129,77
129,129,77
130,129,76
131,128,76
132,128,76
133,128,75
134,128,74
135,128,74
136,128,74
137,127,75
138,127,73
139,127,72
140,127,72
141,127,72
142,126,72
143,126,71
144,126,71
145,126,70
146,126,70
147,126,70
148,126,70
149,126,69
150,126,69
151,125,69
152,125,69
153,125,68
154,125,68
155,125,67
156,125,67
157,125,66
158,125,67
159,125,66
160,125,68
161,125,64
162,124,64
163,123,64
164,123,64
165,122,64
166,122,65
167,121,63
168,121,62
169,121,63
170,121,63
171,121,61
172,120,61
173,120,61
174,120,60
175,120,61
176,120,61
177,120,61
178,120,61
179,120,59
